file	http	path	method
AdminSystemController.java	GET	/admin/system/configs	getConfigs
AdminSystemController.java	PUT	/admin/system/config	upsertConfig
AdminSystemController.java	GET	/admin/system/logs	getLogs
AdminSystemController.java	GET	/admin/system/monitor	getSystemMonitor
AdminSystemController.java	GET	/admin/system/judge-results	getJudgeResults
AuthController.java	POST	/auth/login	login
AuthController.java	POST	/auth/register	register
AuthController.java	POST	/auth/logout	logout
ContestController.java	GET	/contest/list	getContestList
ContestController.java	GET	/contest/{id}	getContestDetail
ContestController.java	POST	/contest/	createContest
ContestController.java	PUT	/contest/{id}	updateContest
ContestController.java	DELETE	/contest/{id}	deleteContest
ContestController.java	POST	/contest/{id}/join	joinContest
ContestController.java	GET	/contest/{id}/ranking	getContestRanking
ContestController.java	GET	/contest/{id}/score-snapshot	getContestScoreSnapshot
ContestController.java	GET	/contest/{id}/analytics	getContestAnalytics
ContestController.java	GET	/contest/{id}/ranking/export	exportContestRanking
DevController.java	GET	/dev/token/{username}	getToken
DiscussionCommentController.java	GET	/discussion/{postId}/comments	getCommentList
DiscussionCommentController.java	POST	/discussion/{postId}/comments	createComment
DiscussionCommentController.java	DELETE	/discussion/comments/{commentId}	deleteComment
DiscussionController.java	GET	/discussion/list	getPostList
DiscussionController.java	GET	/discussion/{id}	getPostDetail
DiscussionController.java	POST	/discussion/	createPost
DiscussionController.java	DELETE	/discussion/{id}	deletePost
DiscussionController.java	PUT	/discussion/{id}/audit	auditPost
DiscussionController.java	POST	/discussion/{id}/like	likePost
DiscussionController.java	DELETE	/discussion/{id}/like	unlikePost
ProblemController.java	GET	/problem/list	getProblemList
ProblemController.java	GET	/problem/{id}	getProblemById
ProblemController.java	POST	/problem/	createProblem
ProblemController.java	POST	/problem/create	createProblemCompat
ProblemController.java	POST	/problem/batch-import	batchImportProblems
ProblemController.java	PUT	/problem/{id}	updateProblem
ProblemController.java	DELETE	/problem/{id}	deleteProblem
SocialController.java	GET	/social/follow/status	getFollowStatus
SocialController.java	POST	/social/follow/{targetUserId}	follow
SocialController.java	DELETE	/social/follow/{targetUserId}	unfollow
SocialController.java	GET	/social/follow/following	getFollowing
SocialController.java	GET	/social/follow/followers	getFollowers
SocialController.java	POST	/social/message	sendMessage
SocialController.java	GET	/social/message/list	getMessages
SocialController.java	GET	/social/message/threads	getThreads
SocialController.java	PUT	/social/message/read	markConversationRead
SubmissionController.java	POST	/submission/submit	submit
SubmissionController.java	GET	/submission/{id}	getSubmissionById
SubmissionController.java	GET	/submission/{id}/status	getSubmissionStatus
SubmissionController.java	GET	/submission/list	getSubmissionList
SubmissionController.java	GET	/submission/points/ranking	getPointRanking
SubmissionController.java	GET	/submission/points/me	getMyPointSummary
SubmissionController.java	GET	/submission/my	getMySubmissions
SubmissionController.java	GET	/submission/problem/{problemId}	getSubmissionsByProblem
SubmissionController.java	POST	/submission/{id}/rejudge	rejudgeSubmission
SystemController.java	GET	/system/public-configs	
TeacherAnalyticsController.java	GET	/teacher/analytics/overview	getOverview
TeacherAnalyticsController.java	GET	/teacher/analytics/overview/export	exportOverviewCsv
TestCaseController.java	GET	/problem/{problemId}/test-cases/	getProblemTestCases
TestCaseController.java	POST	/problem/{problemId}/test-cases/	createTestCase
TestCaseController.java	PUT	/problem/{problemId}/test-cases/	replaceProblemTestCases
TestCaseController.java	PUT	/problem/{problemId}/test-cases/{testCaseId}	updateTestCase
TestCaseController.java	DELETE	/problem/{problemId}/test-cases/{testCaseId}	deleteTestCase
UserController.java	GET	/user/info	getUserInfo
UserController.java	GET	/user/role-profile	getMyRoleProfile
UserController.java	GET	/user/public/{id}	getPublicProfile
UserController.java	PUT	/user/role-profile	updateMyRoleProfile
UserController.java	PUT	/user/password	updatePassword
UserController.java	PUT	/user/info	updateUserInfo
UserController.java	PUT	/user/update	updateUserInfoCompat
UserController.java	POST	/user/change-password	changePassword
UserController.java	GET	/user/list	getUserList
UserController.java	PUT	/user/{id}/admin	adminUpdateUser
UserController.java	POST	/user/{id}/reset-password	adminResetPassword
UserController.java	GET	/user/{id}/role-profile	adminGetRoleProfile
UserController.java	PUT	/user/{id}/role-profile	adminUpdateRoleProfile
